Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-721,2734.86,3674.34,3938.72,0.02,0,0.69,0.21,0.34,27.66,18.06,30.01,2.93,0.54,4.13,0.55,0.06,2.57,2.66,PRI,POT,0.38
S-1039,3815.74,3850.35,4360.85,0.652079875,0.08,1.43,0.031131719,0.98,38.6,5.15,27.02,15.62,0.47,3.84,2.69,0.01,0.04,2.55,SSF,CLO-SER,0.27
S-470,2113.69,4384.02,4433.82,0.45,0.06,0.76,0.05,1.9,37.15,6.78,29.15,12.01,0.52,1.03,0.78,0.01,0.02,2.6,SSF,POT,0.22
S-242,3621.6,3793.82,4323.11,0.58,0.14,2.37,0.33,0.75,43.76,12.7,28.7,2.55,1.37,2.58,1.96,0.01,0.02,2.57,SSF,POT,0.23
S-432,1833.32,3920.35,4040.52,0.33,0.07,0.59,0.14,2.4,29.56,5.57,16.82,15.58,1.09,6.39,1.88,0.03,0.08,2.61,SSF,POT,0.13
S-3,1688.91,3868.31,4207.6,0.89,0.04,0.32,0.02,1,39.24,4.44,20.52,6.79,0.8,5.92,1.63,0,0.03,2.59,SSF,POT,0.19
S-459,2308.24,3940.6,4071.14,0.41,0.08,0.78,0.17,0.26,26.43,12.87,20.89,7.14,0.96,6.95,1.6,0,0.03,2.6,SSF,POT,0.24
S-1063,3673.35,3478.78,4132.59,0.008621025,0,1.28,0.007497341,1.05,25.87,1.97,7.8,9.19,0.71,11.18,2.02,0.04,5.34,2.72,PRI,POT,0.29
S-1109,2114.46,4329.83,4232.75,0.182336869,0.03,0.38,0.123300864,0.67,24.21,8.31,16.67,3.77,0.59,8.13,1.34,0.01,0.06,2.6,SSF,POT,0.22
S-712,3090.7,3102.9,4040.67,0,0,2,0.01,1.71,32.4,4.93,14.9,17.22,0.31,5.58,1.32,0.01,0.29,2.6,PRI,CLO-SER,0.2
S-325,2485.07,3775.46,4094.9,0.51,0.02,1.05,0.24,0.49,31.7,17.07,27.31,7.82,0.67,4.8,0.73,0.01,0.03,2.55,SSF,POT,0.27
S-481,2280.37,3861.66,4038.09,0.49,0.02,1.29,0.64,0.2,26.6,15.27,39.49,6.85,1.22,6.18,0.68,0,0.01,2.54,SSF,POT,0.22
S-1031,3276.81,3254.36,4027.77,0.008929999,0,1.3,0.04413252,0.13,20.08,9.52,17.38,3.94,1.28,16.91,4.43,0.67,5.41,2.79,PRI,POT,0.21
S-200,3598.13,3748.49,4346.31,0.22,0.06,1.49,0.13,0.15,34.58,13.98,24.89,10.11,0.69,5.11,1.46,0,0.08,2.55,SSF,POT,0.26
S-541,4029.3,3645.72,4578.59,0.14,0.05,1.1,0.06,1.93,24.78,2.1,21.68,14.17,0.8,7.29,7.1,0.06,0.04,2.66,SSF,POT,0.07
S-380,3983.13,3289.57,4654.31,0.63,0.08,1.06,0.05,4.58,32.83,2.62,10.21,25.72,1.61,2.1,6.02,0,0.11,2.62,SSF,POT,0.09
S-361,3268.65,3836.5,4234.64,0.17,0.03,0.43,0.21,0,28.77,19.75,25.48,2.33,0.72,6.17,0.66,0,0.13,2.57,SSF,POT,0.4
S-962,1667.61,3886.55,4034.93,0.8073239,0.08,0.42,0.023759479,0.47,28.87,5.65,19.47,15.18,0.57,6.96,2.29,0.01,0.06,2.62,SSF,POT,0.21
S-1187,3674.05,3458.38,4212.01,0.001217594,0,0.82,0.00608312,1.55,45.72,8.93,16.81,15.63,0.42,0.54,0.84,0.05,0.08,2.59,SSD,POT,0.35
S-980,2653.23,3439.4,3734.18,0.01601704,0.01,0.46,0.479632371,0.01,24.98,16.44,17.5,1.87,0.56,8.05,1.37,0.09,3.81,2.68,PRI,POT,0.41
S-1093,1836.03,4317.32,4337.69,0.302513672,0.02,1.1,0.069296045,0.01,24.91,11.04,36.47,7.45,0.71,7.3,1.9,0.01,0.05,2.56,SSF,POT,0.25
S-1035,3815.89,3866.73,4402.76,0.665704798,0.14,1.36,0.050084963,1.16,30.95,3.36,25.27,21.15,0.69,4.3,3.13,0.01,0.06,2.61,SSF,POT,0.19
S-208,2780.8,3951.82,4238.5,0.04,0.01,1.93,0.58,0.09,36.21,20.96,20.49,6.07,1.36,3.14,1.45,0.09,1.47,2.73,SSD,POT,0.31
S-654,4125.33,3898.21,4449.41,0.38,0.1,1.35,0.23,1.86,29.82,4.76,26.66,17.31,1.39,6.34,2.48,0,0.05,2.82,SSF,AR,0.11
S-599,3933.6,3905.87,4505.34,0.25,0.03,0.27,0.01,0.67,26.69,4.09,37.61,17.22,0.14,4.66,2.85,0.01,0.03,2.52,SSF,POT,0.08
S-1204,3966.16,3637.87,4397.73,0.24205787,0.02,0.93,0.018421368,1.76,30.79,3.61,22.27,14.39,0.97,7.66,2.35,0.01,0.08,2.62,SSF,CLO-SER,0.18
S-1283,3576.71,3538.63,4236.23,0.04,0,2.1,0.06,0.36,34.35,9.53,20.72,13.83,0.52,3.35,1.3,0.02,0.04,2.56,SSF,POT,0.19
S-1152,3237.97,3324.99,4033.11,0.00290287,0,1.48,0.041836043,0.26,39.33,12.2,14.98,12.49,0.2,2,1.07,0.29,1.93,2.63,PRI,CLO-SER,0.45
S-323,3308.82,3568.32,4218.73,0.13,0.03,1.1,0.06,0.16,29.05,15.85,26.74,9.48,0.66,2.9,0.57,0,0.03,2.53,SSF,POT,0.3
S-108,3545.97,3749.03,4277.94,0.19,0.03,0.42,0.31,0.02,21.4,15.19,25.51,1.82,0.15,14.91,1.68,0.01,0.03,2.51,SSF,POT,0.2
S-992,2307.73,3878.62,3916.35,0.012088093,0,0.74,0.316970637,0.54,25.68,21.47,20.63,6.47,0.58,5.93,0.7,0.05,12.44,2.65,PRI,POT,0.39
S-57,3333.08,4066.47,4371.69,0.34,0.02,1.1,0.03,0.01,28.22,18.58,23.48,1.09,1.38,4.64,0.93,0,0.01,2.61,SSF,POT,0.39
S-122,3612.16,3843.66,4336.49,0.17,0.04,1.42,0.35,0.31,33,16.73,29.14,4,0.63,4.84,1.88,0.01,0.03,2.57,SSF,POT,0.25
S-447,2530.77,3870.45,4100.81,0.22,0.02,0.41,0.43,0,22.01,15.22,26.89,1.87,0.48,9.97,0.95,0.02,0.07,2.61,SSF,POT,0.25
S-26,1983.97,4052.51,4248.39,0.55,0.07,0.61,0.04,1.51,34.38,7.85,26.13,7.64,0.97,5.14,2.01,0,0.06,2.61,SSF,POT,0.25
S-74,2367,3993.64,4106.9,0.62,0.06,0.27,0.2,0.91,23.6,10.28,17.42,2.3,1.12,9.49,1.66,0.01,0.03,2.63,SSF,POT,0.19
S-255,2616.12,3263.95,3820.38,0.02,0.01,0.84,0.27,0.01,24.12,17.04,20.48,3.2,0.2,6.52,1.01,0.06,4.52,2.65,PRI,POT,0.34
S-45,1935.04,3938.02,4186.32,0.76,0.05,0.68,0.05,1.9,32.71,5.88,20.6,6.74,1.39,5.93,1.77,0,0.02,2.56,SSF,POT,0.24
S-436,3475.81,3715.81,4153.85,0.02,0,1.65,0.19,0.18,29.38,18.68,24.5,4.55,0.92,3.47,1.16,0.03,4.5,2.68,PRI,POT,0.38
S-320,3307.54,3651.61,4118.94,0.01,0,1.57,0.56,0.01,32.92,21.48,18.26,6.06,0.68,3.8,0.84,0.05,4.89,2.67,PRI,POT,0.41
S-1101,1835.68,4278.75,4168.03,0,0,0.97,0.051850362,0.08,20.94,14.89,26.39,3.16,0.73,12.32,1.61,0.01,0.06,2.53,SSD,POT,0.24
S-347,3265.16,3822.24,4227.79,0.24,0.02,1.22,0.45,0.05,32.99,19.88,28.56,3.23,0.4,4.45,0.8,0,0.02,2.55,SSF,POT,0.41
S-364,3249.22,3930.86,4217.73,0.01,0,0.73,0.32,0.03,26.57,16.71,24.05,1.65,0.41,6.41,0.55,0.06,2.84,2.67,SSD,POT,0.52
S-373,3329.51,3547.57,4119.99,0.03,0.01,1.7,0.23,0.02,30.27,17.06,17.55,5.82,0.53,3.91,1.47,0.07,2,2.66,PRI,POT,0.46
S-1096,1835.84,4300.93,4267.07,0.08044263,0.01,0.61,0.064826816,0.01,23.15,9.27,27.41,2.96,0.46,5.67,0.84,0.01,0.05,2.58,SSF,POT,0.24
S-304,3261.02,3293.18,4122.62,0,0,2.49,0,1.92,37.38,4.14,15.28,24.46,0.4,2.8,1.62,0.01,0.06,2.64,SSD,CLO-SER,0.2
S-1177,3504.21,3156.69,4108.79,0.00572261,0,0.86,0.005854663,1.8,28.22,10.88,7.41,5.19,1.3,2.37,4.07,0.05,1.02,2.69,PRI,CLO-SER,0.52
S-1122,1681.61,4186.48,4239.82,0.732993617,0.02,0.77,0.072527445,0.01,23.03,10.94,34.48,4.14,0.27,8.06,1.2,0.01,0.02,2.53,SSF,POT,0.27
S-1263,2652.56,3450.04,3766.73,0.02,0,1.16,0.77,0.02,27.76,20.91,16.84,4.07,0.66,5.91,0.79,0.02,4.8,2.67,PRI,POT,0.39
S-350,3236.3,3754.67,4221.18,0.13,0.01,0.93,0.72,0,29.62,20.84,25.08,2.04,0.29,5.3,0.6,0.01,0.07,2.53,SSF,POT,0.31
S-455,3029.51,3820.52,4114.08,0.02,0,1.1,0.31,0.48,27.41,17.48,22.41,1.77,0.44,4.76,0.65,0.03,1.45,2.66,PRI,POT,0.44
