Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-1034,3815.92,3870.75,4413,0.243301136,0.08,2.7,0.041484443,0.21,29.07,3.78,48.73,7.85,0.6,2.82,1.05,0.01,0.07,2.55,SSF,POT,0.32
S-10,1739.39,3881.04,4208.13,0.61,0.03,0.93,0.04,0.61,30.72,6.97,18.68,3.93,0.88,5.61,1.63,0,0.01,2.59,SSF,POT,0.24
S-542,4045.18,3382.15,4574.92,0.9,0.02,0.78,0.04,2.92,29.07,3.54,19.54,18.34,0.3,5.03,4.57,0.02,0.02,2.61,SSF,AR,0.12
S-205,2970.68,3918.04,4254.88,0.14,0.03,0.84,0.48,0.02,28.47,17.37,28.63,1.38,0.2,6.3,0.5,0.01,0.02,2.59,SSF,POT,0.29
S-676,2651.55,3497.89,3909.85,0.02,0,0.77,0.44,0.02,24.51,15.27,19.8,2.59,0.58,8.02,1.44,0.04,5.53,2.68,PRI,POT,0.36
S-83,2413.21,3993.78,4138.15,0.39,0.05,0.37,0.52,0.07,29.18,18.02,26.33,1.9,0.97,5.8,0.92,0,0.02,2.45,SSF,POT,0.25
S-1023,3276.81,3243.71,4103.53,0.005203551,0,1.86,0.003148298,3.21,28.28,1.78,10.82,21.25,0.45,10.11,2.36,0.02,0.33,2.73,SSD,POT,0.18
S-551,2734.47,3681.01,3975.18,0.01,0,0.98,0.18,0.52,25.04,18.05,28.16,4.36,0.89,4.57,0.88,0.1,2.65,2.65,PRI,POT,0.38
S-692,2232.93,3765.13,3943.99,0.01,0,0.66,0.21,0.31,24.38,14.08,32.98,3.07,0.31,5.29,0.55,0.06,2.71,2.66,PRI,POT,0.34
S-250,3479.51,3828.38,4268.29,0.11,0.02,0.86,0.26,0.01,28.81,17.7,29.93,2.57,0.39,4.51,0.79,0.03,1.28,2.54,SSF,POT,0.31
S-603,3307.15,3661.16,4107.37,0.05,0,0.79,0.88,0.01,30.5,17.67,26.1,3.52,0.76,4.61,0.6,0.07,3.38,2.66,PRI,POT,0.36
S-220,3571.05,3616.48,4314.53,0.34,0.09,1.2,0.14,0.89,33.8,9.93,21.9,16.44,1.32,3.15,2.53,0.02,0.12,2.55,SSF,POT,0.21
S-1188,3674.01,3459.77,4206.68,0.001234408,0,1.23,0.002869526,1.35,36.04,7.33,18.67,16.7,0.47,2.04,1.9,0.01,0.23,2.62,SSD,POT,0.31
S-1166,3464.11,3189.57,4210.87,0.002023639,0,0.8,0.005151121,3.98,20.45,2.78,5.65,12.12,0.71,11.41,3.82,0.02,0.2,2.75,SSD,CLO-SER,0.24
S-537,2735.88,3820.58,4039.85,0.2,0.08,0.66,0.17,0.25,24.78,16.05,38.48,2.93,0.5,5.35,0.75,0.04,0.01,2.53,SSF,POT,0.35
S-238,3083.07,3967.27,4272.74,0.27,0.02,0.61,0.52,0.01,29.83,9.58,42.45,0.47,0.7,6.74,0.48,0.01,0.04,2.56,SSF,POT,0.22
S-1159,3439.55,3210.29,4273.05,0.001263699,0,1.12,0.004445617,5.2,20.74,4.74,9.64,27.07,0.71,6.72,6.02,0.03,0.11,2.72,SSD,CLO-SER,0.69
S-476,3273.97,3275.13,4172.38,0,0,2.86,0.01,0.85,14.15,2.46,8.24,9.94,0.64,9.9,3.75,0.02,0.07,2.76,SSF,CLO-SER,0.12
S-1091,2429.85,3969.78,3916.1,0.005260902,0,0.7,0.356934342,0.27,21.6,17.22,23.67,2.14,0.62,5.27,0.86,0.06,3.29,2.66,PRI,POT,0.49
S-184,2955.83,3401.7,3844.15,0.02,0,0.69,0.46,0.02,22.68,16.46,13.88,2.12,0.23,10.83,1.33,0.1,4.99,2.66,PRI,POT,0.44
S-1245,2732.61,3443.35,3776.78,0.03,0.01,0.4,0.86,0.04,24.92,20.13,18.15,1.59,0.55,4.72,0.14,0.01,2.15,2.65,PRI,POT,0.4
S-1069,3933.66,3927.29,4428,0.107142004,0.02,0.57,0.043302566,1.22,34.57,5.46,20.18,12.99,0.85,3.76,1.39,0,0.07,2.61,SSF,POT,0.34
S-502,2030.38,3521.6,3888.45,0,0,1.32,0.08,0.73,26.21,17.01,29.07,7.34,0.45,6.47,0.99,0.03,4.75,2.69,PRI,POT,0.36
S-550,3644.16,3395.84,4446.74,0.09,0.03,0.76,0.06,5.1,47.38,14.79,9.51,21.12,0.18,0.33,0.07,0.01,0.05,2.63,SSF,POT,0.11
S-665,3109.15,3153.65,4011.48,0.02,0,1.52,0.01,1.13,26.32,9.46,15.9,12.32,0.42,8.46,2.15,0.04,2.28,2.75,PRI,CLO-SER,0.21
S-411,2613.67,3983.92,4154.33,0.21,0.03,1.27,0.07,0.25,25.54,14.05,26.14,4.25,1.14,4.76,1.1,0.01,0.03,2.67,SSF,POT,0.24
S-452,3029.72,3832.87,4162.53,0.11,0.02,1,0.24,0.37,27.3,19.3,27.42,2.91,0.77,5.46,0.49,0.03,0.37,2.6,SSF,POT,0.37
S-8,2097.31,3972.44,4112.68,1.02,0.06,0.61,0.04,2.72,41.32,8.12,27.21,8.79,1.42,2.91,2.1,0,0.02,2.57,SSF,POT,0.18
