Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-591,2484.55,3513.84,3934.94,2484.55,3513.84,3934.94,0.01,0,0.7,0.93,0.04,0,0.01,27.02,19.41,24.58,2.78,0.62,6.63,0.34,0.06,5.14,2.67,porphyry,PRI,POT,0.36
S-592,2280.12,3847.46,3962.41,2280.12,3847.46,3962.41,0.03,0,0.75,0.77,0.02,0,0.01,29.45,19.45,19.44,2.1,0.74,5.8,0.89,0.08,3.21,2.64,porphyry,PRI,POT,0.39
S-593,3232.82,3687.89,3944.75,3232.82,3687.89,3944.75,0.04,0.01,0.48,0.84,0.03,0,0.01,28.2,18.33,22.77,2.15,0.49,4.39,0.85,0.07,2.68,2.65,porphyry,PRI,POT,0.5
S-594,3306.03,3697.94,4062.54,3306.03,3697.94,4062.54,0.03,0,1.55,0.48,0.24,0,0.01,28.83,19.21,26.08,4.38,0.51,3.98,0.85,0.05,3.61,2.63,porphyry,PRI,POT,0.42
S-595,2588.13,3695.98,3932.07,2588.13,3695.98,3932.07,0.02,0,1.44,0.65,0.14,0,0.01,26.57,13.91,29.49,2.16,0.47,7.14,0.49,0.01,5.45,2.67,porphyry,PRI,POT,0.36
S-596,3307.28,3657.98,4111.23,3307.28,3657.98,4111.23,0.04,0,0.93,0.57,0.01,0,0.01,31.96,12.7,29.48,3.31,0.7,5.24,0.86,0.06,3.79,2.64,porphyry,PRI,POT,0.34
S-597,3305.68,3717.94,4037.56,3305.68,3717.94,4037.56,0.01,0,0.63,0.74,0.06,0,0.01,33.75,22.97,20.98,1.79,0.4,3.53,0.58,0.03,2.45,2.64,porphyry,PRI,POT,0.4
S-598,3029.85,3788.84,3987.49,3029.85,3788.84,3987.49,0.01,0,0.96,0.17,0.23,0,0.01,34.23,12.77,20.12,1.68,0.56,5.92,1.77,0.06,2.87,2.68,porphyry,PRI,POT,0.4
S-599,3128.87,3549.62,4008.49,3128.87,3549.62,4008.49,0.03,0.01,0.75,0.71,0.02,0,0.01,19.44,9.74,12.18,3.53,0.28,13.74,1.51,0.02,3.51,2.74,porphyry,PRI,POT,0.22
S-600,3183.91,3654.99,4002.4,3183.91,3654.99,4002.4,0.03,0.01,0.62,1,0.1,0,0.01,27.54,15.41,22.93,2.08,0.32,6.27,0.82,0.03,2.45,2.65,porphyry,PRI,POT,0.35
S-601,2686.81,3714.11,3946.98,2686.81,3714.11,3946.98,0.01,0.01,0.72,0.16,0.36,0,0.01,24.26,14.06,28.55,3.17,0.46,7.05,0.72,0.1,2.58,2.64,porphyry,PRI,POT,0.36
S-602,2729.39,3758.33,3986.41,2729.39,3758.33,3986.41,0.02,0,1.03,0.2,0.36,0,0.01,22.26,13.37,36.05,3.58,0.28,6.05,0.5,0.04,1.4,2.66,porphyry,PRI,POT,0.39
S-603,3265.39,3784.47,4017.15,3265.39,3784.47,4017.15,0.09,0,0.39,1.25,0.01,0,0.01,24.23,23.9,28.85,1.84,0.17,6.6,0.67,0.06,3.39,2.65,porphyry,PRI,POT,0.42
S-604,3316.17,3833.06,4059.67,3316.17,3833.06,4059.67,0.04,0.01,1.18,0.22,0.14,0,0.01,30.91,20.46,19.39,2.41,0.2,4.24,1.04,0.14,2.18,2.65,porphyry,PRI,POT,0.41
S-605,3281.16,3819.87,4091.99,3281.16,3819.87,4091.99,0.06,0.01,1.7,0.84,0.09,0,0.01,24.89,15.51,24.24,1.29,0.31,4.56,0.8,0.13,1.07,2.68,porphyry,PRI,POT,0.46
S-606,3231.77,3814.96,4093.94,3231.77,3814.96,4093.94,0.06,0,1.26,0.82,0.12,0,0.01,33.21,20.02,24.07,2.25,0.25,4.46,0.38,0.1,2.38,2.66,porphyry,PRI,POT,0.46
S-607,3231.77,3814.96,4093.94,3231.77,3814.96,4093.94,0.06,0,1.26,0.82,0.12,0,0.01,33.21,20.02,24.07,2.25,0.25,4.46,0.38,0.1,2.38,2.66,porphyry,PRI,POT,0.46
S-608,2883.63,3805.33,4096.89,2883.63,3805.33,4096.89,0.01,0,0.85,0.21,0.9,0,0.01,27.76,18.42,22.56,2.76,0.41,5.42,1.11,0.06,1.44,2.65,porphyry,PRI,POT,0.37
